station_id,station_name,region,n_polygons_in_buffer,total_buffer_area_m2,forest_area_m2,ForestRatio,ConiferRatio,BroadleafRatio,MixedRatio,BambooRatio,NonForestRatio,DominantForest,ForestRiskScore
108,서울,서울특별시,999,78413712.3,18718203.7,0.991,0.0593,0.1407,0.0386,0.0,0.009,Broadleaf,0.9906
156,광주,광주광역시,1410,78413712.3,9966344.2,0.9954,0.0502,0.0467,0.0289,0.0013,0.0046,Conifer,0.6846
102,백령도,인천광역시,319,78413712.3,16608950.0,0.9988,0.1265,0.0533,0.032,0.0,0.0012,Conifer,1.4675
112,인천,인천광역시,178,78413712.3,826101.6,0.9997,0.0024,0.0056,0.0026,0.0,0.0003,Broadleaf,0.0425
201,강화,인천광역시,0,78413712.26364785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
159,부산,부산광역시,1766,78413712.3,21353026.8,0.992,0.1156,0.1133,0.043,0.0004,0.008,Conifer,1.5125
296,북부산,부산광역시,1275,78413712.3,23952719.6,0.994,0.1344,0.096,0.0748,0.0002,0.006,Conifer,1.761
239,세종,세종특별자치시,3600,78413712.3,22439103.1,0.9808,0.0986,0.1584,0.0288,0.0004,0.0192,Broadleaf,1.3898
184,제주,제주특별자치도,442,78413712.3,2601550.5,0.9907,0.0252,0.0031,0.0048,0.0001,0.0093,Conifer,0.2731
185,고산,제주특별자치도,456,78413712.3,1130362.5,0.9901,0.0123,0.0017,0.0004,0.0,0.0099,Conifer,0.1274
188,성산,제주특별자치도,1062,78413712.3,6060476.5,0.9805,0.041,0.0186,0.0173,0.0004,0.0195,Conifer,0.5
189,서귀포,제주특별자치도,512,78413712.3,3568182.3,0.9977,0.0166,0.0145,0.0142,0.0002,0.0023,Conifer,0.238
133,대전,대전광역시,1868,78413712.3,18620799.7,0.9906,0.0744,0.1248,0.0376,0.0007,0.0094,Broadleaf,1.1078
152,울산,울산광역시,3493,78413712.3,24885198.0,0.996,0.1794,0.0837,0.0506,0.0036,0.004,Conifer,2.1206
