date,sido,sigungu,area_ha,cause_type,cause_detail
2022-01-01,충남,충남,0.3,입,기타(직접입력)
2022-01-02,경북,경북,0.2,,주택화재비화
2022-01-02,전남,전남,0.1,담,담뱃불실화
2022-01-03,강원,강원,0.8,기,기타(직접입력)
2022-01-03,대구,대구,0.08,기,기타(직접입력)
2022-01-04,대구,대구,0.01,입,기타(직접입력)
2022-01-04,경기,경기,0.01,기,기타(직접입력)
2022-01-04,경남,경남,0.01,,농산폐기물소각
2022-01-04,경북,경북,0.05,담,담뱃불실화
2022-01-04,경북,경북,0.5,기,기타(직접입력)
2022-01-04,강원,강원,0.2,기,기타(직접입력)
2022-01-04,충북,충북,0.9,기,기타(직접입력)
2022-01-06,경기,경기,0.5,기,작업장실화
2022-01-06,충남,충남,0.15,입,기타(직접입력)
2022-01-06,경남,경남,0.01,,기타(직접입력)
2022-01-06,경남,경남,0.01,쓰,쓰레기소각
2022-01-07,경기,경기,0.16,기,기타(직접입력)
2022-01-07,경북,경북,0.1,기,기타(직접입력)
2022-01-07,경남,경남,0.1,입,기타(직접입력)
2022-01-08,울산,울산,0.05,기,작업장실화
2022-01-08,경남,경남,0.1,입,기타(직접입력)
2022-01-08,충북,충북,0.1,기,기타(직접입력)
2022-01-08,경북,경북,0.1,입,기타(직접입력)
2022-01-09,전북,전북,0.06,입,기타(직접입력)
2022-01-09,경남,경남,0.04,입,기타(직접입력)
2022-01-09,경남,경남,0.5,기,방화
2022-01-10,강원,강원,0.01,기,작업장실화
2022-01-10,경남,경남,0.03,입,기타(직접입력)
2022-01-10,경기,경기,0.02,기,기타(직접입력)
2022-01-10,전남,전남,1.1,입,기타(직접입력)
2022-01-10,경기,경기,0.26,담,담뱃불실화
2022-01-10,경북,경북,14.1,입,기타(직접입력)
2022-01-10,경남,경남,5.5,입,기타(직접입력)
2022-01-12,경북,경북,0.05,담,담뱃불실화
2022-01-12,경기,경기,0.05,기,기타(직접입력)
2022-01-12,강원,강원,0.15,,주택화재비화
2022-01-12,경북,경북,0.1,입,기타(직접입력)
2022-01-13,경기,경기,0.01,입,기타(직접입력)
2022-01-14,경북,경북,0.2,,논밭두렁소각
2022-01-14,강원,강원,0.3,입,기타(직접입력)
2022-01-15,경기,경기,0.01,기,기타(직접입력)
2022-01-15,경남,경남,0.02,입,기타(직접입력)
2022-01-16,부산,부산,2.5,기,기타(직접입력)
2022-01-16,인천,인천,0.04,기,기타(직접입력)
2022-01-16,경기,경기,0.1,기,기타(직접입력)
2022-01-17,경북,경북,0.01,기,기타(직접입력)
2022-01-17,경기,경기,0.02,기,기타(직접입력)
2022-01-18,경북,경북,0.02,,주택화재비화
2022-01-18,경북,경북,0.01,입,기타(직접입력)
2022-01-19,경북,경북,3.0,입,기타(직접입력)
2022-01-19,부산,부산,0.02,입,기타(직접입력)
2022-01-19,북부,강원,0.2,기,기타(직접입력)
2022-01-19,경북,경북,1.2,입,기타(직접입력)
2022-01-19,경남,경남,0.19,쓰,쓰레기소각
2022-01-20,부산,부산,0.33,기,기타(직접입력)
2022-01-23,경기,경기,0.05,기,작업장실화
2022-01-23,경기,경기,0.01,기,기타(직접입력)
2022-01-23,경남,경남,0.03,쓰,쓰레기소각
2022-01-23,경기,경기,0.6,기,기타(직접입력)
2022-01-24,경북,경북,0.2,기,작업장실화
2022-01-24,경남,경남,0.02,쓰,쓰레기소각
2022-01-25,대구,대구,0.05,기,기타(직접입력)
2022-01-25,경북,경북,0.1,쓰,쓰레기소각
2022-01-26,경북,경북,0.1,,주택화재비화
2022-01-26,경북,경북,0.01,기,기타(직접입력)
2022-01-26,울산,울산,0.03,입,기타(직접입력)
2022-01-27,울산,울산,0.3,기,작업장실화
2022-01-27,전북,전북,0.3,쓰,쓰레기소각
2022-01-27,경기,경기,0.02,쓰,쓰레기소각
2022-01-28,경남,경남,1.45,기,작업장실화
2022-01-28,전남,전남,4.4,담,담뱃불실화
2022-01-28,경남,경남,0.31,,주택화재비화
2022-01-28,경북,경북,0.4,입,기타(직접입력)
2022-01-28,경북,경북,0.94,기,기타(직접입력)
2022-01-29,울산,울산,0.01,입,기타(직접입력)
2022-01-29,전북,전북,0.5,입,기타(직접입력)
2022-01-30,강원,강원,0.1,기,기타(직접입력)
2022-01-30,경기,경기,0.07,기,기타(직접입력)
2022-01-30,충남,충남,0.01,입,기타(직접입력)
2022-01-30,경북,경북,0.1,쓰,쓰레기소각
2022-01-30,경기,경기,0.01,기,기타(직접입력)
2022-01-31,경기,경기,0.3,쓰,쓰레기소각
2022-01-31,강원,강원,0.2,,논밭두렁소각
2022-01-31,충남,충남,0.01,쓰,기타(직접입력)
2022-01-31,경남,경남,0.01,기,기타(직접입력)
2022-01-31,경기,경기,0.01,기,기타(직접입력)
2022-01-31,전남,전남,0.02,기,기타(직접입력)
2022-01-31,경북,경북,0.01,입,기타(직접입력)
2022-02-01,울산,울산,2.5,입,기타(직접입력)
2022-02-01,경북,경북,0.1,입,기타(직접입력)
2022-02-02,경북,경북,0.1,기,기타(직접입력)
2022-02-03,경북,경북,0.2,,농산폐기물소각
2022-02-04,경기,경기,0.9,,농산폐기물소각
2022-02-04,강원,강원,0.1,기,기타(직접입력)
2022-02-04,세종,세종,0.03,담,담뱃불실화
2022-02-05,경남,경남,0.9,기,작업장실화
2022-02-05,부산,부산,0.07,기,기타(직접입력)
2022-02-05,경북,경북,0.69,기,작업장실화
2022-02-06,경기,경기,0.15,기,기타(직접입력)
2022-02-06,경남,경남,1.03,,기타(직접입력)
2022-02-07,전남,전남,0.39,담,담뱃불실화
2022-02-07,경북,경북,1.15,,논밭두렁소각
2022-02-08,경기,경기,0.5,기,기타(직접입력)
2022-02-08,울산,울산,0.3,입,기타(직접입력)
2022-02-09,강원,강원,0.05,기,기타(직접입력)
2022-02-10,경북,경북,1.37,기,작업장실화
2022-02-10,경기,경기,0.01,쓰,쓰레기소각
2022-02-10,경기,경기,0.06,,주택화재비화
2022-02-10,대구,대구,12.4,기,기타(직접입력)
2022-02-10,경기,경기,0.04,기,기타(직접입력)
2022-02-10,경기,경기,1.6,기,기타(직접입력)
2022-02-11,세종,세종,0.06,기,기타(직접입력)
2022-02-11,충남,충남,0.12,입,기타(직접입력)
2022-02-11,강원,강원,0.1,기,기타(직접입력)
2022-02-11,경북,경북,0.5,,농산폐기물소각
2022-02-11,충남,충남,0.06,입,기타(직접입력)
2022-02-11,부산,부산,0.04,기,기타(직접입력)
2022-02-11,경남,경남,0.06,쓰,쓰레기소각
2022-02-12,충북,충북,1.8,입,기타(직접입력)
2022-02-12,경기,경기,0.5,기,기타(직접입력)
2022-02-12,충북,충북,1.47,기,기타(직접입력)
2022-02-12,전남,전남,0.1,,논밭두렁소각
2022-02-12,부산,부산,0.01,기,기타(직접입력)
2022-02-12,세종,세종,0.03,기,기타(직접입력)
2022-02-12,남부,경남,0.24,입,기타(직접입력)
2022-02-12,강원,강원,0.1,기,기타(직접입력)
2022-02-12,전남,전남,0.4,입,기타(직접입력)
2022-02-12,전남,전남,0.2,기,기타(직접입력)
2022-02-12,경기,경기,0.17,기,기타(직접입력)
2022-02-13,전북,전북,0.5,입,기타(직접입력)
2022-02-13,경기,경기,0.03,,주택화재비화
2022-02-13,전북,전북,0.01,입,기타(직접입력)
2022-02-13,부산,부산,0.02,기,기타(직접입력)
2022-02-13,강원,강원,0.05,쓰,쓰레기소각
2022-02-13,경기,경기,0.03,기,기타(직접입력)
2022-02-14,충남,충남,0.3,기,기타(직접입력)
2022-02-14,강원,강원,0.4,,주택화재비화
2022-02-14,경남,경남,0.5,쓰,쓰레기소각
2022-02-14,경북,경북,0.1,,농산폐기물소각
2022-02-15,경북,경북,405.69,기,기타(직접입력)
2022-02-15,경남,경남,1.5,담,담뱃불실화
2022-02-15,경북,경북,8.53,,주택화재비화
2022-02-15,경남,경남,0.5,쓰,쓰레기소각
2022-02-15,전북,전북,0.03,입,기타(직접입력)
2022-02-16,북부,경기,0.01,입,기타(직접입력)
2022-02-16,부산,부산,0.2,,주택화재비화
2022-02-16,경북,경북,0.67,쓰,쓰레기소각
2022-02-16,경기,경기,0.15,담,담뱃불실화
2022-02-16,경기,경기,0.06,기,기타(직접입력)
2022-02-18,경기,경기,0.16,담,담뱃불실화
2022-02-18,경남,경남,0.09,,주택화재비화
2022-02-18,충남,충남,0.05,입,기타(직접입력)
2022-02-18,전남,전남,0.3,입,기타(직접입력)
2022-02-19,경기,경기,0.01,입,기타(직접입력)
2022-02-19,강원,강원,0.2,기,기타(직접입력)
2022-02-19,전북,전북,0.1,입,기타(직접입력)
2022-02-19,경기,경기,0.1,,논밭두렁소각
2022-02-19,충남,충남,0.03,,주택화재비화
2022-02-19,충남,충남,0.3,입,기타(직접입력)
2022-02-20,경북,경북,0.96,기,방화
